Soil Moisture,Rainfall,Humidity,Temperature,Crop Type,Irrigation Needed
2.27,156.0480669,47.6,37,Rabi,1
2.61,109.4454289,44.9,38,Rabi,1
0.51,262.0174374,42.2,39,Rabi,1
23.45,118.4970812,39.5,40,Kharif,0
8.07,100.502571,36.8,41,Kharif,1
1.25,62.18475676,34.1,42,Zaid,1
3.12,113.3390472,31.4,43,Kharif,1
15.45,95.00530681,28.7,44,Zaid,1
1.97,203.1911878,26.0,45,Rabi,1
2.3,86.8748114,23.3,46,Zaid,1
2.68,173.1599239,80.0,25,Zaid,1
0.52,19.76764951,77.0,26,Zaid,1
23.74,57.38674701,74.0,27,Rabi,0
8.16,122.2215815,71.0,28,Kharif,1
1.27,281.0847762,68.0,29,Kharif,1
3.17,113.1755957,65.0,30,Kharif,1
15.63,199.2222364,62.0,31,Kharif,0
2.01,76.52616673,59.0,32,Zaid,1
2.36,38.11007279,56.0,33,Zaid,1
2.72,17.56098002,53.0,34,Rabi,1
0.53,91.62404956,50.0,35,Zaid,1
23.99,47.29830804,47.0,36,Zaid,0
8.26,52.2031344,44.0,37,Rabi,1
1.29,228.2277925,41.0,38,Kharif,1
3.21,4.751421283,38.0,39,Zaid,1
15.76,167.3430377,35.0,40,Kharif,0
2.05,113.8384142,32.0,41,Kharif,1
2.39,151.965,29.0,42,Kharif,1
2.72,168.8490712,26.0,43,Rabi,1
0.54,94.01030834,23.0,44,Zaid,1
21.37,88.53265806,20.0,45,Zaid,0
8.35,220.0205548,17.0,46,Kharif,1
1.31,261.3830964,80.0,25,Rabi,1
3.04,57.77448974,77.5,26,Zaid,1
15.94,29.28562816,75.0,27,Zaid,1
2.08,269.3387419,72.5,28,Kharif,1
2.27,104.9686391,70.0,29,Rabi,1
12.45,165.3952172,67.5,30,Kharif,0
1.76,107.8629434,65.0,31,Kharif,1
45.19,37.7407009,62.5,32,Zaid,0
24.07,176.7994935,60.0,33,Kharif,0
4.23,157.5422555,57.5,34,Kharif,1
8.0,60.89806776,55.0,35,Zaid,1
41.06,135.5607134,52.5,36,Rabi,0
6.6,239.0842512,50.0,37,Rabi,1
6.87,177.1278309,47.5,38,Kharif,1
12.39,29.07519812,45.0,39,Zaid,1
1.7,164.4064492,42.5,40,Kharif,1
44.23,210.8214898,40.0,41,Rabi,0
23.35,237.8110217,37.5,42,Kharif,0
4.09,188.7352736,35.0,43,Kharif,1
7.68,45.79744936,32.5,44,Zaid,1
40.7,213.05198,30.0,45,Kharif,0
6.19,203.2025538,27.5,46,Kharif,1
6.44,7.328064882,80.0,25,Zaid,1
12.64,123.5243003,77.3,26,Rabi,0
1.73,99.88507409,74.6,27,Zaid,1
44.98,200.8236193,71.9,28,Kharif,0
23.73,64.84074369,69.2,29,Zaid,0
4.17,177.2615769,66.5,30,Rabi,1
7.81,273.9617885,63.8,31,Kharif,1
41.32,239.3407117,61.1,32,Kharif,0
6.31,276.4373209,58.4,33,Rabi,1
6.56,293.5517901,55.7,34,Kharif,1
12.86,3.201038102,53.0,35,Rabi,1
1.76,186.8223829,50.3,36,Kharif,1
45.62,123.8518193,47.6,37,Kharif,0
24.08,257.9563471,44.9,38,Rabi,0
4.24,75.5444106,42.2,39,Zaid,1
7.94,294.3088467,39.5,40,Rabi,1
41.93,184.1123909,36.8,41,Rabi,0
6.43,238.0612207,34.1,42,Kharif,1
6.69,25.67986585,31.4,43,Rabi,1
12.84,55.03736543,28.7,44,Rabi,1
1.66,227.5211019,26.0,45,Rabi,1
44.46,6.595956612,23.3,46,Zaid,0
23.83,245.0633958,80.0,25,Rabi,0
4.07,4.184705608,77.0,26,Zaid,1
7.43,197.1356517,74.0,27,Kharif,1
42.16,109.5281761,71.0,28,Kharif,0
6.05,183.4484558,68.0,29,Kharif,1
6.22,208.8094221,65.0,30,Kharif,1
13.0,102.7425658,62.0,31,Rabi,0
1.68,32.38873443,59.0,32,Zaid,1
44.97,20.89376032,56.0,33,Zaid,0
24.2,176.6808068,53.0,34,Kharif,0
4.13,156.1966061,50.0,35,Kharif,1
7.51,222.6603027,47.0,36,Kharif,1
42.75,152.920653,44.0,37,Kharif,0
6.15,126.733737,41.0,38,Kharif,1
6.3,119.4261535,38.0,39,Rabi,1
7.2,7.934070779,35.0,40,Rabi,1
1.48,100.6671605,32.0,41,Kharif,1
33.0,292.8060473,29.0,42,Kharif,0
19.03,262.0666729,26.0,43,Kharif,0
3.38,98.81342011,23.0,44,Zaid,1
6.07,176.3386215,20.0,45,Rabi,1
30.21,254.1890237,17.0,46,Kharif,0
5.28,132.382301,80.0,25,Rabi,1
5.07,5.387359125,77.0,26,Rabi,1
2.6,22.35313855,74.0,27,Rabi,1
0.53,153.1178164,71.0,28,Kharif,1
17.53,290.8318127,68.0,29,Rabi,0
9.52,207.9628627,65.0,30,Kharif,1
1.35,21.27485743,62.0,31,Zaid,1
2.57,56.80826274,59.0,32,Rabi,1
16.71,231.396943,56.0,33,Rabi,0
1.77,252.431928,53.0,34,Kharif,1
1.84,185.3083759,50.0,35,Rabi,1
2.7,193.3269509,47.0,36,Kharif,1
